EPS,forecasted_eps,noOfEsts,after_total_returns,before_total_returns
0.21,0.44,2,-0.123898389,-0.062105271
0.35,0.44,3,-0.072675792,-0.047902823
-0.56,-0.59,4,0.031834166,0.189436927
0.43,0.48,5,-0.159073006,0.040104848
0.4,0.35,6,0.01920739,0.110108638
0.74,0.6,5,-0.038768634,0.04700655
0.5,0.43,4,-0.064601293,0.090547136
0.09,0.41,3,-0.211583912,0.074626897
0.89,0.5,1,-0.160837816,0.047910992
0.71,0.48,1,-0.136065148,-0.040000017
0.8,0.73,6,-0.099486048,0.056665092
0.56,0.6,2,-0.149218201,-0.060606089
0.2,0.55,6,-0.179984475,0.05379483
0.4,0.42,4,-0.185036525,0.022827359
1.82,0.48,1,-0.036314819,0.006442483
0.1,0.38,5,-0.184077507,0.074840719
0.08,0.46,4,-0.152726912,0.074895934
0.41,0.4,5,-0.197647059,0.017118402
0.02,-0.06,9,-0.030864198,0.015384615
0.71,0.81,1,-0.102350278,0.060558669
-0.39,-0.18,3,0.067099567,-0.130536131
0.21,0.24,6,-0.152019805,0.025462931
-0.64,-0.67,1,0.045447006,0.179264767
-1.59,-0.53,7,-0.151785714,0.01396648
0.62,0.6,5,-0.246260884,0.037037032
0.28,0.36,6,-0.20448029,0.003761913
0.05,0.19,6,-0.239093371,0.026258156
0.19,1.33,1,-0.344924285,0.037562013
0.23,0.19,1,-0.142522002,0.139986166
0.24,0.28,3,-0.210133065,0.100327817
-0.02,-0.72,1,-0.108951407,0.102591334
0.44,0.42,2,-0.101143904,-0.07096774
0.09,0.17,4,-0.25741891,-0.113960114
1.78,1.05,3,-0.184716958,0.031301979
-0.04,-0.23,7,-0.098810437,0.064344461
-0.48,-0.62,2,0.081371546,0.224489796
0.4,0.39,4,-0.150027872,0.040397432
0.77,0.68,5,-0.204995426,0.018584717
0.19,0.06,1,-0.234769718,0.031409218
0.9,0.69,3,-0.2037928,0.024112538
0.51,0.38,2,0.038843728,-0.016378534
0.37,0.41,3,-0.217391326,0.022393825
0.04,-0.05,7,-0.176470588,-0.102449889
0.27,0.31,1,-0.078644006,-0.00443128
0.08,0.26,1,-0.159075011,-0.03544489
0.3,0.32,3,-0.047344136,-0.049853337
-0.25,-0.06,1,0.13986014,-0.154166667
0.36,0.88,1,-0.147261397,0.005567154
0.43,0.28,1,-0.144382173,0.008643635
0.3,0.29,5,-0.150644683,0.043149129
0.03,-0.03,3,-0.164583333,-0.030612245
0.21,0.68,4,-0.202205525,-0.003061607
0.09,0.07,2,0.247311828,0.195067265
0.26,0.3,2,0.047311867,-0.002710612
-0.22,-0.07,1,-0.057828973,0.080309507
0.27,0.47,1,-0.175925936,0.067352205
0.08,0.12,3,-0.269767462,0.050269285
0.07,0,1,-0.010494726,-0.069970795
0.17,0.19,3,-0.238410581,-0.047368366
0.59,0.41,2,-0.023046652,-0.017028723
0.23,0.18,2,-0.031420753,0.006600708
-0.1,-0.04,3,-0.015243902,0.002628121
0.15,0.32,2,-0.107658963,-0.014503816
0.08,0.08,1,-0.106122449,-0.089924051
-0.99,-1.02,1,0.002040122,0.001390821
2.22,2.07,6,0.041007989,0.077909815
0.09,0.05,2,0.09308183,0.060935286
0.57,0.54,12,0.033930523,0.068050435
1.83,1.58,11,-0.053262576,0.0275867
0.41,0.39,9,0.115226574,0.027346637
1.49,1.46,7,0.01792976,0.062921348
0,-0.08,2,0.02247191,0.249818972
0.08,0.06,3,0.04224537,0.068627451
0.52,0.51,2,-0.008710801,0.172839506
0.17,0.15,9,-0.04996797,0.025087108
0.33,0.27,3,-0.074091665,0.066446748
0.07,0.08,6,0.052046784,0.056755089
-0.26,-0.27,5,-0.116751269,0.08974359
0.6,0.61,4,0.064613688,0.008558421
0.13,0.11,6,-0.121941882,0.103296712
-0.34,-0.26,6,-0.020109375,-0.047076032
0.3,0.29,1,-0.004010025,0.062033314
0.09,0.1,1,-0.013888889,0.310195228
0.16,0.75,5,0.01256077,0.002356896
-0.02,-0.05,3,-0.090163934,-0.055825243
0.29,0.31,6,0.02350081,0.131846825
0.95,0.95,2,-0.017948709,-0.01215805
0.28,0.17,3,-0.016971714,0.07648
0.45,0.43,4,0.009588086,0.053175796
-0.43,0.87,2,-0.095693786,0.062607659
-0.19,-0.24,1,-0.142185239,0.189635535
0.43,0.41,2,0.060532856,-0.073977369
0.54,-0.1,2,-0.070769231,0.178988327
-0.75,-0.56,2,-0.01511335,0.218125
-0.2,-0.33,2,-0.084862385,-0.07487401
-0.01,-0.07,1,-0.026548673,0.099526066
0.76,0.75,2,0.020213573,0.038238954
0.48,0.47,3,-0.035958235,0.032568627
0.07,0.61,2,0.286944997,0.28
0.22,0.29,3,0.002883962,0.079239239
1.05,1.19,2,0.051690537,0.024644829
-0.19,-0.18,4,-0.026041667,0.103092784
0.37,0.35,4,0.020746832,0.058109234
0.15,0.07,1,-0.00570337,0.009259495
0.44,0.41,5,0.036120271,0.120015526
-0.32,-0.37,4,-0.01459854,-0.023255814
-0.11,-0.11,1,-0.055248619,0.106951872
0.24,0.34,5,0.035960514,0.047468192
-0.63,-0.76,1,-0.09375,0.242236025
0.39,0.35,5,0.051391946,0.034178848
0.13,0.08,2,0.089770355,0.034292035
0.18,0.03,2,-0.043201153,0.077046588
-0.99,1,1,-0.17352811,0.070409572
-0.69,-0.32,2,0.068124496,0.03333331
0.07,0.08,2,0.158244812,0.096317261
0.01,0,1,-0.035486726,0.00952381
-0.05,-0.01,2,-0.137931034,0.018181818
-0.15,-0.14,1,-0.032064128,0.273781903
-0.07,-0.03,1,-0.050386571,0.042471029
0.08,0.08,3,0.102955195,0.026998962
0.82,0.82,8,-0.013438604,0.003832077
0,-0.03,3,0.146610169,0.064642507
0.57,0.5,5,0.001776197,0.080979275
0.44,0.36,11,0.017437837,0.045044811
-0.57,-0.55,3,0.081081081,0.055749129
0.89,0.81,10,0.031263574,-0.01389778
0.8,0.73,5,-0.001312442,-0.028103579
1.72,1.95,7,0.066519893,0.04839287
-1.75,-1.53,7,-0.090456113,0.105240364
1.51,1.02,1,0.090741229,0.034567915
0.04,0.53,9,-0.130277443,-0.05370844
-0.02,-0.05,3,-0.020532319,-0.133852429
0.31,0.31,2,-0.00874799,0.06082192
3.21,2.78,1,0.008074135,0.020521065
0.18,0.16,1,0.044501134,-0.065180085
1.93,1.36,9,-0.155751872,0.087268606
1.26,1,1,-0.102259683,0.109620139
-0.23,-0.28,2,-0.160714286,-0.056910569
-0.27,-0.16,1,-0.072707424,-0.407207207
-0.06,-0.1,1,-0.076086957,0.018382353
1.37,1.39,8,0.001819957,0.03129289
-0.36,-0.33,7,-0.022512709,0.040255535
0.98,0.93,11,0.028337425,0
-0.36,-0.34,7,0.160366552,-0.132681564
0.07,0.07,6,0.006051437,0.013888889
0,-0.01,4,-0.062081825,0.02895215
-0.75,-1.33,3,-0.045950413,0.122718053
0.43,0.44,6,0.027727675,-0.013218637
0.25,0.37,5,0.190828402,0.069836553
-1.16,-1.33,4,-0.080182761,-0.05042324
0.7,0.59,4,0.036021278,0.02239885
0.48,0.14,1,0.216080402,0.006024096
0.87,0.84,1,-0.007656962,0.002311243
-0.09,-0.07,4,0.047276465,0.142682927
-0.02,0.02,3,-0.071253093,0.022169408
0.26,0.28,1,-0.050151536,-0.046308881
0.69,0.63,13,-0.018613434,0.028384899
0.03,0.06,2,0.100579611,0.104391052
0.6,0.48,1,0.02931191,0.009774446
0.18,0.4,6,-0.03173191,0.011668243
0.14,0.09,2,0,0
-0.84,-0.79,5,-0.097918638,0.15625
0.09,0.09,4,0.101371774,0.005817452
0.04,0.02,2,0.028483449,0.053228621
-0.51,-0.71,2,-0.201333333,0.107750473
0.47,0.3,1,0.026597582,-0.037427696
1.14,0.82,1,-0.062903605,0.054963997
-1.14,-1.01,3,-0.062983425,0.048984468
0.09,0.07,1,0.054903861,0.015424146
-0.14,-0.18,3,-0.062240664,0.108374384
0.54,0.32,5,0.30746888,0.136913401
-0.18,-0.13,3,-0.116591928,0.042440318
0.29,0.29,1,-0.01999216,0.217391304
0.21,0.24,1,0.043547635,-0.041666777
0.36,0.42,3,0.01929467,0.021604898
-0.36,-0.04,2,-0.116647792,-0.023354565
-0.25,-0.14,1,-0.018518519,0.073929961
0.28,0.3,3,0.040976526,-0.012391599
-0.29,-0.25,2,0.014983352,0.044827586
0.2,0.19,5,-0.00939518,-0.015202698
0.44,0.28,1,0.126272745,0.005137408
-0.32,-0.34,3,-0.050359712,0.169354839
0.02,-0.03,1,0.129370629,-0.032846715
-0.07,-0.06,2,-0.059411765,0
-0.27,-0.26,5,-0.031422271,-0.050748752
-0.13,-0.17,6,-0.11,0.152542373
-0.1,-0.06,2,-0.147555556,0.028090732
-0.12,-0.2,2,0.004294918,-0.019647696
-0.19,-0.2,1,0.068322981,0.011627907
0.18,0.34,1,-0.169117769,-0.023668723
0.61,0.61,8,-0.015116056,0.023317005
0.57,0.6,3,-0.006134964,-0.012987001
1.48,1.41,10,0.030214993,0.030082495
-1.15,-0.81,3,-0.001455604,0.036405887
-0.21,-0.04,5,-0.081455772,0.067049873
-0.21,-0.19,1,-0.060674169,0.132467836
1.11,1.02,5,-0.00784,0.001719146
0.34,0.33,1,0.05770754,0.045414097
-0.82,-1.06,4,-0.146153846,0.195020747
2.31,2.05,5,-0.013591435,-0.003648134
-0.18,-1.15,1,-0.152066116,0.225766871
-10.42,-0.12,3,0.114139021,-0.006685018
-0.42,-0.61,3,-0.168594035,-0.027670528
0,-0.01,2,-0.043067196,0.031982942
0.17,0.01,1,0.060900265,-0.004690432
-0.11,-0.08,1,0.009174312,0.17037037
1,-1.24,1,-0.084962913,-0.049091941
0.22,0.02,1,-0.115897721,-0.143578947
-0.89,-0.37,1,-0.186666667,0.052486188
-0.19,-0.1,1,-0.06779661,-0.089552239
1.64,1.33,1,-0.005550811,0.058121432
2.16,2.24,4,0.013686314,-0.054967077
-0.5,-0.47,2,0.000166537,-0.145351759
1.28,1.12,2,0.033259931,-0.036505425
-0.19,-0.13,8,0.006496298,-0.195121951
0.67,0.6,5,0.00403948,-0.103347612
-1.08,-1.48,10,0.00619405,-0.19214023
-1.66,-1.36,1,-0.035066712,-0.132802981
-0.35,-0.47,5,0.000760906,-0.146808627
0.43,0.29,8,-0.045198309,-0.04028682
0.61,0.55,5,0.038538522,-0.088662802
2.67,2.07,9,-0.029274586,-0.129048461
1.18,0.94,4,0.039938359,-0.089328882
0.3,0.23,1,-0.043101313,-0.111946071
0.53,0.52,5,-0.008521135,-0.055040812
-0.1,-0.14,5,0.141339214,-0.088079859
-0.23,-0.47,2,0.165446072,-0.19965353
0.58,0.5,6,-0.034922767,-0.066172107
-0.18,-0.15,2,0.009679063,-0.127312775
2.16,1.79,5,-0.086734694,-0.091354997
-2.57,-3.12,2,0.005979599,-0.258654658
2.23,0.92,1,-0.078476791,0.03691887
0.26,0.19,1,-0.034789644,-0.006225681
0.38,-0.17,1,-0.075217217,-0.024027476
0.07,0.07,2,-0.170915958,-0.135993485
0.52,0.53,2,-0.005307418,0.074422942
-0.8,-0.56,2,-0.22080292,0.168769716
1.55,1.58,4,-0.001652264,0.009022942
9.96,9.8,12,0.003377943,0.122343454
0.15,0.16,5,0.049259259,-0.08692185
1.04,1.04,10,-0.027125119,0.046397547
1.17,1.19,8,0.016281085,0.056517208
0.17,0.13,10,0.034887512,-0.047748977
0.29,0.23,6,0.061646444,0.037826437
0.17,0.11,4,0.005968068,0.014656483
0.29,-0.07,4,0.064806315,-0.023957409
1.67,1.54,6,0.026518392,0.116296296
-0.13,-2.06,1,0.104499274,0.012802276
-0.33,-0.3,1,-0.047120419,0.044642857
0.01,-0.15,1,0.407142857,-0.078125
1.03,1,1,0.085714286,0.107394366
0.09,0.11,2,0.04526749,-0.006711409
0.13,0.09,7,0.109329442,0.149732624
