EPS,forecasted_eps,noOfEsts,after_total_returns,before_total_returns
0.34,0.38,7,0.019298255,0.064155395
0.83,0.81,4,0.028394707,0.044104938
0.37,0.36,3,-0.004999993,0.042215404
1.6,1.34,10,0.024744572,0.035084626
0.55,0.52,4,0.055139551,0.033892617
0.79,0.85,2,-0.00950041,0.041175546
1.11,1.13,2,-0.003489441,0.072886296
0.25,0.24,2,0.004648412,0.009461827
0.8,0.73,7,-0.098825332,0.042494128
1.3,1.22,2,-0.027376811,0.031971885
0.07,-0.09,2,0.0325497,0.038162588
1.3,1.24,4,0.042443724,0.048630684
0.48,0.43,3,-0.000432152,0.036099391
-0.08,-0.09,2,-0.026831683,0.166666667
1.23,1.09,1,0.020300082,0.042484894
0.84,0.81,1,-0.010182341,0.031166968
0.17,0.15,1,0.096432408,0.014545469
0.54,0.51,1,-0.030775553,0.066301135
-0.07,-0.04,3,-0.01607717,-0.050314465
0.38,0.39,3,0.019358091,-0.012054204
0.92,1,1,-0.024081631,0.044684462
0.32,0.34,2,-0.006989622,-0.053663581
0.6,0.57,16,-0.017319809,0.032374093
1.03,0.76,2,0.026677964,0.104540934
0.32,0.36,1,0.008452751,0.027573531
2.12,1.51,7,0.049275358,0.035551986
-0.61,-0.6,3,-0.076368876,0.038931298
0.01,0.02,1,0.111111111,-0.115942029
-1.28,1,1,-0.007092199,0.049701789
0.25,0.19,1,-0.03217783,0.026316037
-0.02,-0.06,3,-0.064113239,-0.097026604
0.23,0.3,1,0.034851485,-0.045454545
1.21,0.6,12,0.089127033,0.115218575
0.85,0.69,1,0.013968507,0.139185454
-0.18,-0.11,2,0.019592163,-0.107093664
1.45,0.41,2,0.083836516,0.070104142
0.39,0.4,3,0.103892375,0.205761329
-0.08,-0.02,1,1.214765101,-0.14375
-0.65,-0.55,3,-0.003649635,0.009558824
1.03,0.77,7,-0.018027303,-0.033228246
1.38,0.95,9,0.011333334,-0.045484662
10.03,9.33,5,-0.021920455,0.037829869
2.84,1.94,8,-0.00511322,-0.033639585
0.17,0.17,7,0.034074782,-0.006606917
4.5,3.16,5,-0.030290236,-0.007758439
-1.07,-1.41,12,-0.00120919,-0.044613962
-0.17,-0.12,1,0.087401575,0.016442451
0.8,0.82,1,-0.032188828,-0.002267551
0.06,-0.01,1,-0.057142857,-0.048611111
0.78,0.83,9,-0.013335962,-0.005536417
1.42,1.4,10,0.010298944,-0.018875683
0.91,0.89,8,0.000366333,0.015990047
1.01,0.87,8,-0.023481527,0.009990484
0.27,0.09,1,-0.001899919,0.025016431
0.56,0.5,4,-0.035798128,0.009784336
0.12,0.13,1,-0.031668903,-0.006398508
0.62,0.57,5,0.012452746,0.046742217
0.28,0.27,4,-0.024227762,0.032579212
2.82,2.71,8,-0.03219003,0.007686042
-0.07,0.23,4,0.006634088,0.015410938
0.45,0.41,2,-0.00685681,0.019484232
0.2,0.23,2,0.002415459,-0.027197976
1.06,1.05,8,-0.035634748,-0.009404836
0.33,0.41,4,0.03043418,0.021568633
0.73,0.73,6,-0.04533274,-0.007996553
0.15,0.08,1,-0.042408796,0.0030487
0.55,0.52,4,0.019214948,-0.000575046
0.7,0.62,6,0,0.013554189
1.92,1.87,9,-0.039460985,-0.077831063
2.28,2.23,4,0.007822557,0.017595611
0.68,0.62,6,-0.010119595,-0.032679739
0.48,0.43,3,0.029713466,0.029501898
0.18,0.18,2,0.012670623,0.027972012
0.27,0.28,2,-0.019093064,-0.03927203
0.43,0.43,9,-0.030765504,-0.001955512
0.7,0.72,5,-0.039352569,-0.019024011
0.36,0.44,4,0.027075414,0.018614028
0.49,0.45,4,0.039999527,0.054812848
0.13,0.11,2,-0.042662077,-0.006779554
0.57,0.48,7,-0.049280559,-0.035874448
0.67,0.49,5,0.027133677,0.033057848
0.46,0.94,2,0.060362173,-0.016229713
1.11,0.88,2,0.005382128,-0.007921591
0.81,0.69,5,-0.024925222,0
0.8,0.81,8,-0.089825458,-0.035018791
1.61,1.66,3,-0.057300508,0
0.4,0.48,5,-0.068870552,-0.018134716
0.38,0.36,2,-0.070889908,-0.003098363
0.05,0.33,6,-0.029984031,-0.049369733
-0.1,-0.14,6,-0.037037037,-0.103092784
0.49,0.53,1,-0.056147416,0.019181226
0.35,0.22,1,-0.062375903,0.012542777
0.99,0.86,8,-0.026458616,-0.053254438
0.09,0.07,6,-0.102076062,-0.008571474
1.9,1.8,12,-0.033996379,0.008812073
0.09,0.01,5,-0.099775785,0.013806706
0.25,0.24,4,-0.005522642,0.00722893
0.17,0.17,4,-0.046632124,0.010781671
0.03,-0.01,1,0,-0.011764706
0.39,0.46,4,-0.035757084,-0.024566225
0.37,0.35,1,-0.032200331,0.042279418
0.29,0.33,2,-0.05721269,0.001904746
0.01,0.01,1,-0.085625,0.050243902
0.06,0.08,4,-0.032584448,-0.035264451
0.67,0.58,1,-0.013857917,0.032565164
0.44,0.43,1,0.011070128,0.003745324
-0.26,-0.28,6,-0.303797468,0.155778894
0.82,0.84,7,0.031244763,0.044911199
5.07,4.78,9,0.110531489,0.103348016
0.33,0.66,1,0.04559156,0.011287093
2.14,1.08,1,-0.007285412,0.027795126
2.18,2.03,1,0.07064712,-0.054147632
2.38,2.04,1,0.044974688,0.00397907
